"file","duration_s","label","stop_onset_s","stop_start_s","holdout","contaminated","background_clip","transcript"
"ring-20260724-131642.wav","8.26","positive","6.32","6.32","False","True","ringbody-20260724-131642.wav","Your timer is done. Stop."
"ring-20260724-131706.wav","6.14","positive","2.64","2.64","True","False","","Your timer is done. Stop. [BRAD-VERIFIED: TWO stops — mid ~2.6s and end ~6s; live ASR missed both]"
"ring-20260724-131733.wav","6.94","positive","1.28","5.62","False","False","","Your timer is done Stop."
"ring-20260724-131756.wav","6.88","positive","5.92","5.92","False","True","ringbody-20260724-131756.wav","Your timer is done. Stop"
"ring-20260724-131830.wav","12.03","positive","1.28","11.05","False","False","","Your timer is done Stop Stop"
"ring-20260724-132716.wav","8.9","positive","7.44","7.44","True","False","","Your oven timer is done. Stop."
"ring-20260724-132738.wav","18.75","negative","","","False","True","ringbody-20260724-132738.wav","Your timer is done. Okay, so this is me just talking. I'm going to use regular words and I'm not going to say the words that want to cease this timer from ringing, so I'm going to keep talking for a couple seconds. And then I'm going to say random stuff. [BRAD-VERIFIED: says 'random stuff', NO stop — live dismiss was a bias-ASR mishear; full clip usable as background]"
"ring-20260724-132818.wav","8.26","positive","3.04","6.62","False","False","","Your coffee timer is done. Okay, I'm going to talk a little bit, I'm going to say some words, and then I'm going to say stop."
"ring-20260724-132842.wav","9.12","positive","7.68","7.68","False","True","ringbody-20260724-132842.wav","Your kettle timer is done. That's actually really funny. That's the wrong whistle. Stop"
"ring-20260724-132915.wav","4.0","positive","2.8","2.80","False","False","","Your tofu timer is done. Stop."
"ring-20260724-132948.wav","14.66","positive","12.88","12.88","False","True","ringbody-20260724-132948.wav","Your timer is done. I've got peace like the river. I've got peace like the river. I've got peace like a river. Stop."
"ring-20260724-133028.wav","9.86","positive","1.36","8.44","False","False","","Your timer is done Stop"
"ring-20260724-133118.wav","8.9","positive","3.36","7.29","False","True","ringbody-20260724-133118.wav","Your timer is done. Stop. Stop. Stop."
"ring-20260724-143209.wav","11.14","negative","","","True","False","","Your timer is done. Okay, I'm going to talk a little bit and I'm not going to swipe at all. I am going to swipe, but I'm not going to [BRAD-VERIFIED: no stop]"
"ring-20260724-160825.wav","4.77","positive","3.52","3.52","False","True","ringbody-20260724-160825.wav","Your clear timer is done. Stop."
"ring-20260724-174327.wav","3.9","positive","2.56","2.56","False","False","","Your timer is done. Stop."
"ring-20260724-174346.wav","14.98","positive","13.9","13.90","True","False","","Your timer is done. [BRAD-VERIFIED: TWO clear stops at the end (~13.5-15s); live caught one, offline ASR neither]"
"ring-20260724-174431.wav","5.82","negative","","","False","True","ringbody-20260724-174431.wav","Can you cancel the timer? [BRAD-VERIFIED: no stop]"
"ring-20260724-174458.wav","6.94","positive","5.2","5.20","False","True","ringbody-20260724-174458.wav","Your timer is done. Stop."
